postcode,"business with income
no.","people with private health insurance
no."
2000,1888,7846
2001,37,254
2002,9,30
2006,8,43
2007,420,1813
2008,603,2668
2009,831,5645
2010,2363,11697
2011,1629,9016
2012,20,83
2013,12,54
2014,11,61
2015,805,5140
2016,1036,5137
2017,1441,7995
2018,1052,5143
2019,661,4182
2020,975,5322
2021,1351,8232
2022,1035,5914
2023,1007,5952
2024,1099,5652
2025,678,4242
2026,3343,15511
2027,722,5019
2028,406,2807
2029,951,5517
2030,1227,8334
2031,2724,15964
2032,802,5002
2033,750,4522
2034,1653,9690
2035,2279,14282
2036,1600,10406
2037,1172,6251
2038,775,4526
2039,708,4539
2040,1621,9723
2041,1392,8836
2042,1578,8035
2043,690,4190
2044,611,3020
2045,434,3135
2046,1672,12810
2047,835,6156
2048,630,3429
2049,876,4649
2050,615,3767
2052,4,49
2057,23,149
2059,22,154
2060,960,7949
2061,404,3458
2062,509,3901
2063,427,3732
2064,573,4616
2065,1908,16662
2066,1994,16755
2067,1450,11316
2068,1036,9086
2069,893,7903
2070,813,7658
2071,808,7518
2072,445,4278
2073,938,9194
2074,1236,12648
2075,1194,11775
2076,1382,13074
2077,2120,16474
2079,422,3513
2080,115,825
2081,320,2685
2082,307,2621
2083,149,702
2084,249,2060
2085,605,5994
2086,836,6785
2087,744,6413
2088,1955,16632
2089,885,6791
2090,952,7527
2092,419,3924
2093,1604,11732
2094,449,3434
2095,1313,8616
2096,1186,7575
2097,1131,7832
2098,6,57
2099,2938,16577
2100,1579,10078
2101,1536,9223
2102,492,3565
2103,795,5657
2104,232,2059
2105,197,1077
2106,833,5273
2107,1442,7915
2108,148,1050
2110,601,5238
2111,925,7020
2112,1969,13966
2113,1056,9017
2114,1333,9841
2115,613,3832
2116,405,2202
2117,1212,7906
2118,1493,10553
2119,667,6588
2120,1070,10239
2121,1530,13319
2122,1792,12749
2123,7,28
2124,29,258
2125,858,9207
2126,908,9669
2127,1018,6420
2128,194,626
2129,10,39
2130,531,3091
2131,1524,7276
2132,608,4201
2133,726,3963
2134,856,4463
2135,1585,9297
2136,496,2852
2137,1586,12390
2138,1047,7280
2140,1047,4350
2141,1954,6598
2142,1826,4150
2143,584,2017
2144,3757,4087
2145,4004,22677
2146,892,5348
2147,1718,10883
2148,3430,13829
2149,17,108
2150,1796,7936
2151,1151,7617
2152,604,4397
2153,3039,26815
2154,1925,19740
2155,2874,26011
2156,694,7367
2157,261,1814
2158,495,4610
2159,361,2598
2160,2698,6698
2161,2102,4594
2162,987,3510
2163,454,1010
2164,944,3936
2165,1859,5192
2166,2099,7152
2167,434,2375
2168,1681,6105
2170,5234,21040
2171,1870,10051
2172,109,1167
2173,604,4993
2174,197,1168
2175,110,718
2176,2161,11440
2177,655,2925
2178,217,1345
2179,342,1735
2190,1789,4742
2191,377,1885
2192,909,2681
2193,1117,5429
2194,1730,4437
2195,2469,2452
2196,2252,6140
2197,572,1828
2198,454,2434
2199,985,3282
2200,2778,7402
2203,1003,5173
2204,1957,8729
2205,1507,6021
2206,1234,7129
2207,1721,9090
2208,699,4392
2209,876,5231
2210,1679,10602
2211,879,5971
2212,776,5025
2213,1015,8240
2214,164,1560
2216,1898,7735
2217,1629,9048
2218,1046,4962
2219,785,5568
2220,1890,9599
2221,1000,7547
2222,711,4393
2223,1146,9509
2224,750,6520
2225,309,2858
2226,605,5902
2227,763,7119
2228,998,7790
2229,1559,14012
2230,1911,14848
2231,146,866
2232,1741,14790
2233,1314,13856
2234,1583,15944
2250,3258,23335
2251,1971,12572
2256,699,4463
2257,1503,8694
2258,260,2049
2259,2365,15858
2260,1609,10723
2261,2541,15459
2262,632,3925
2263,888,4767
2264,605,4477
2265,291,2006
2267,108,1016
2278,118,933
2280,1159,10542
2281,566,4655
2282,693,6789
2283,908,8061
2284,409,3510
2285,1101,11044
2286,153,1292
2287,1248,12512
2289,880,8292
2290,1558,13337
2291,918,7109
2292,125,925
2293,133,1096
2294,122,707
2295,263,2449
2296,96,630
2297,95,520
2298,356,2856
2299,456,3464
2300,779,5257
2302,39,305
2303,495,3786
2304,658,4641
2305,627,5589
2306,33,231
2307,121,937
2308,2,55
2311,83,375
2312,100,351
2314,1,12
2315,713,5219
2316,325,1877
2317,294,2240
2318,482,4357
2319,202,1539
2320,1263,12603
2321,702,5801
2322,583,6460
2323,880,9005
2324,863,6911
2325,882,7048
2326,218,1812
2327,189,1718
2328,115,874
2329,121,681
2330,873,8329
2333,403,4417
2334,105,840
2335,281,2641
2336,127,904
2337,446,3046
2338,99,438
2339,58,276
2340,2179,16163
