school_name,BE Score,Girls Enrolments,Boys Enrolments,Full Time Equivalent Enrolments
Saint Mary MacKillop College Albury,98,101,81,182
Conservatorium High School,99,91,60,150.6
North Sydney Boys High School,100,0,915,915
Saint Mary MacKillop Colleges Limited,98,64,72,136
Hornsby Girls High School,100,722,0,719.9
Knox Grammar School,99,77,2953,3030
Sydney Girls High School,100,924,0,923.8
Moriah College,96,706,743,1449
North Sydney Girls High School,100,909,0,908.4
St Francis Xavier's College,Not Rated,524,413,937
Reddam House,98,555,668,1223
Sydney Boys High School,100,0,1208,1204.3
Normanhurst Boys High School,100,0,751,750.6
Northern Beaches Secondary College Manly Campus,100,330,459,788.9
Coffs Harbour Christian Community School,88,458,428,886
Tangara School for Girls,97,560,56,616
Heritage Christian School,76,179,191,370
Chifley College Senior Campus,Not Rated,244,234,478
Moree Secondary College Albert St Campus,Not Rated,100,88,183.6
St Marys Senior High School,Not Rated,571,331,899.9
Fort Street High School,99,335,573,907.2
Brisbane Water Secondary College Woy Woy Campus,Not Rated,345,337,678.1
Sydney Secondary College Blackwattle Bay Campus,Not Rated,275,502,775.4
All Saints Catholic Senior College,Not Rated,244,215,459
Hurlstone Agricultural High School,99,426,531,956.6
Northern Beaches Secondary College Freshwater Senior Campus,Not Rated,403,215,616.3
St George Girls High School,99,926,0,924.7
Callaghan College Jesmond Senior Campus,Not Rated,301,311,604.8
Sydney Technical High School,99,0,921,918.1
Caringbah High School,99,381,533,913.2
St Paul's International College,97,52,104,156
"De La Salle Catholic College, Cronulla",Not Rated,249,199,448
All Saints College (St Mary's Campus),Not Rated,264,181,445
Five Islands Secondary College,Not Rated,120,93,204.4
Coffs Harbour Senior College,Not Rated,280,190,460
Bradfield College,Not Rated,183,107,266.9
Bankstown Senior College,Not Rated,262,262,522.1
Australian Institute of Music,Not Rated,6,2,7.4
Wyndham College,Not Rated,316,312,625.9
Chatswood High School,98,556,1019,1574.4
Willoughby Girls High School,96,962,0,961.4
Calrossy Anglican School,84,539,356,894.5
Great Lakes College Senior Campus,Not Rated,222,173,393.3
Georges River College Oatley Senior Campus,Not Rated,363,362,723
Sefton High School,98,476,580,1056
Dubbo College Senior Campus,Not Rated,281,245,523.9
Killarney Heights High School,95,371,521,891
Cheltenham Girls High School,98,1371,0,1367.9
Lakes Grammar - An Anglican School,90,456,461,917
CathWest Innovation College,,122,186,308
St Ives High School,95,446,600,1041.4
Cherrybrook Technology High School,97,893,1112,2003.2
Castle Hill High School,95,890,911,1799.6
Killara High School,97,642,1025,1664.5
Northern Beaches Secondary College Mackellar Girls Campus,95,1322,0,1320.6
Strathfield Girls High School,95,1028,0,1026.8
Newtown High School of Performing Arts,93,675,391,1063.6
Mosman High School,93,544,558,1099.3
Burwood Girls High School,93,1179,0,1178.4
Hunter Trade College,Not Rated,9,226,235
Newman Senior Technical College,Not Rated,143,197,340
NSW School of Languages,Not Rated,,,
Epping Boys High School,96,0,1278,1276
Carlingford High School,97,476,784,1259.8
Tempe High School,96,380,566,945
Trades Norwest Anglican Senior College,Not Rated,5,39,44
Pacific Coast Christian School,71,176,178,354
Lindfield Montessori Preschool,,1,2,3
Karuna Montessori School,,3,5,8
Farmhouse Montessori School,,18,26,44
Turramurra High School,95,531,676,1206.9
All Saints Grammar,91,256,307,563
St John Paul II Catholic College (Nirimba),83,483,524,1007
Clarence Valley Anglican School,82,152,172,324
Prairiewood High School,88,572,622,1191.5
Ryde Secondary College,97,514,631,1142.8
Riverside Girls High School,94,853,0,851.7
Macquarie Fields High School,96,538,595,1132.4
Canley Vale High School,88,780,780,1560
Asquith Girls High School,90,774,0,770.4
Marsden High School,81,316,561,875.4
Woolooware High School,89,457,462,919
Rose Bay Secondary College,93,620,685,1304.4
The Forest High School,87,316,459,774.3
Concord High School,90,446,783,1229
Barrenjoey High School,87,383,376,756
Pittwater High School,92,542,536,1074.4
Bossley Park High School,79,691,715,1405.4
Port Hacking High School,91,584,577,1161
Davidson High School,90,429,453,879.6
Canterbury Girls High School,88,738,0,734.8
Ku-ring-gai High School,89,319,309,627.6
Blakehurst High School,84,468,615,1081.8
Hunters Hill High School,89,273,428,700.6
Kirrawee High School,92,617,587,1204
Pennant Hills High School,94,449,571,1019
East Hills Girls Technology High School,86,1040,0,1037.9
The Jannali High School,87,445,418,863
Asquith Boys High School,84,0,582,581.2
Cronulla High School,86,594,585,1178.9
