postcode,crimes,,,,,,,,,,,,,,
2000,16348,,,,,,,,,,,,,,
2006,353,,,,,,,,,,,,,,
2007,1127,,,,,,,,,,,,,,
2008,967,,,,,,,,,,,,,,
2009,2227,,,,,,,,,,,,,,
2010,7709,,,,,,,,,,,,,,
2011,5167,,,,,,,,,,,,,,
2015,1336,,,,,,,,,,,,,,
2016,3694,,,,,,,,,,,,,,
2017,2176,,,,,,,,,,,,,,
2018,1118,,,,,,,,,,,,,,
2019,458,,,,,,,,,,,,,,
2020,1309,,,,,,,,,,,,,,
2021,2009,,,,,,,,,,,,,,
2022,2530,,,,,,,,,,,,,,
2023,283,,,,,,,,,,,,,,
2024,701,,,,,,,,,,,,,,
2025,281,,,,,,,,,,,,,,
2026,2650,,,,,,,,,,,,,,
2027,465,,,,,,,,,,,,,,
2028,541,,,,,,,,,,,,,,
2029,481,,,,,,,,,,,,,,
2030,449,,,,,,,,,,,,,,
2031,1680,,,,,,,,,,,,,,
2032,928,,,,,,,,,,,,,,
2033,657,,,,,,,,,,,,,,
2034,1307,,,,,,,,,,,,,,
2035,2496,,,,,,,,,,,,,,
2036,1927,,,,,,,,,,,,,,
2037,2550,,,,,,,,,,,,,,
2038,489,,,,,,,,,,,,,,
2039,497,,,,,,,,,,,,,,
2040,1429,,,,,,,,,,,,,,
2041,920,,,,,,,,,,,,,,
2042,2678,,,,,,,,,,,,,,
2043,489,,,,,,,,,,,,,,
2044,860,,,,,,,,,,,,,,
2045,349,,,,,,,,,,,,,,
2046,995,,,,,,,,,,,,,,
2047,530,,,,,,,,,,,,,,
2048,433,,,,,,,,,,,,,,
2049,903,,,,,,,,,,,,,,
2050,829,,,,,,,,,,,,,,
2052,161,,,,,,,,,,,,,,
2060,1386,,,,,,,,,,,,,,
2061,367,,,,,,,,,,,,,,
2062,198,,,,,,,,,,,,,,
2063,111,,,,,,,,,,,,,,
2064,390,,,,,,,,,,,,,,
2065,1227,,,,,,,,,,,,,,
2066,720,,,,,,,,,,,,,,
2067,2147,,,,,,,,,,,,,,
2068,361,,,,,,,,,,,,,,
2069,296,,,,,,,,,,,,,,
2070,277,,,,,,,,,,,,,,
2071,225,,,,,,,,,,,,,,
2072,261,,,,,,,,,,,,,,
2073,377,,,,,,,,,,,,,,
2074,490,,,,,,,,,,,,,,
2075,320,,,,,,,,,,,,,,
2076,561,,,,,,,,,,,,,,
2077,2006,,,,,,,,,,,,,,
2079,113,,,,,,,,,,,,,,
2080,54,,,,,,,,,,,,,,
2081,189,,,,,,,,,,,,,,
2082,61,,,,,,,,,,,,,,
2083,169,,,,,,,,,,,,,,
2084,148,,,,,,,,,,,,,,
2085,244,,,,,,,,,,,,,,
2086,282,,,,,,,,,,,,,,
2087,243,,,,,,,,,,,,,,
2088,921,,,,,,,,,,,,,,
2089,563,,,,,,,,,,,,,,
2090,364,,,,,,,,,,,,,,
