school_code,school_name,postcode,indigenous_pct,LBOTE_pct,ICSEA_value,Level_of_schooling,Selective_school,School_gender,FACS_district,Local_health_district,AECG_region,ASGS_remoteness,SA4,Healthy canteen
1001,Abbotsford Public School,2046,np,44,1109,Primary School,Not Selective,Coed,"South Eastern Sydney, Northern Sydney & Sydney",Sydney,Metropolitan East,Major Cities of Australia,Sydney - Inner West,N
1002,Aberdeen Public School,2336,21,6,909,Primary School,Not Selective,Coed,Hunter New England & Central Coast,Hunter New England,Hunter,Inner Regional Australia,Hunter Valley exc Newcastle,N
1003,Abermain Public School,2326,23,np,908,Primary School,Not Selective,Coed,Hunter New England & Central Coast,Hunter New England,Hunter,Major Cities of Australia,Hunter Valley exc Newcastle,N
1007,Adaminaby Public School,2629,np,0,971,Primary School,Not Selective,Coed,Illawarra Shoalhaven & Southern NSW,Southern NSW,Lower South Coast,Outer Regional Australia,Capital Region,N
1008,Adamstown Public School,2289,10,14,1048,Primary School,Not Selective,Coed,Hunter New England & Central Coast,Hunter New England,Hunter,Major Cities of Australia,Newcastle and Lake Macquarie,N
1009,Adelong Public School,2729,np,0,951,Primary School,Not Selective,Coed,"Murrumbidgee, Far West & Western NSW",Murrumbidgee,Riverina 1,Inner Regional Australia,Riverina,N
1015,Albion Park Public School,2527,9,6,971,Primary School,Not Selective,Coed,Illawarra Shoalhaven & Southern NSW,Illawarra Shoalhaven,Upper South Coast,Major Cities of Australia,Illawarra,N
1016,Timbumburi Public School,2340,10,np,983,Primary School,Not Selective,Coed,Hunter New England & Central Coast,Hunter New England,North Western 2,Outer Regional Australia,New England and North West,N
1017,Albury Public School,2640,4,11,1044,Primary School,Not Selective,Coed,"Murrumbidgee, Far West & Western NSW",Murrumbidgee,Riverina 1,Inner Regional Australia,Murray,N
1019,Albury West Public School,2640,25,6,872,Primary School,Not Selective,Coed,"Murrumbidgee, Far West & Western NSW",Murrumbidgee,Riverina 1,Inner Regional Australia,Murray,N
1028,Alma Public School,2880,34,3,864,Primary School,Not Selective,Coed,"Murrumbidgee, Far West & Western NSW",Far West,Western 3,Outer Regional Australia,Far West and Orana,N
1030,Alstonville Public School,2477,10,4,991,Primary School,Not Selective,Coed,Mid North Coast & Northern NSW,Northern NSW,Upper North Coast,Inner Regional Australia,Richmond - Tweed,N
1040,Anna Bay Public School,2316,12,6,961,Primary School,Not Selective,Coed,Hunter New England & Central Coast,Hunter New England,Hunter,Inner Regional Australia,Hunter Valley exc Newcastle,N
1041,Annandale Public School,2038,2,29,1117,Primary School,Not Selective,Coed,"South Eastern Sydney, Northern Sydney & Sydney",Sydney,Metropolitan East,Major Cities of Australia,Sydney - Inner West,N
1042,Annandale North Public School,2038,3,26,1150,Primary School,Not Selective,Coed,"South Eastern Sydney, Northern Sydney & Sydney",Sydney,Metropolitan East,Major Cities of Australia,Sydney - Inner West,N
1045,Appin Public School,2560,7,10,985,Primary School,Not Selective,Coed,South Western Sydney,South Western Sydney,Dharawal,Inner Regional Australia,Sydney - Outer South West,N
1048,Arcadia Public School,2159,np,26,1049,Primary School,Not Selective,Coed,"South Eastern Sydney, Northern Sydney & Sydney",Northern Sydney,Metropolitan North,Inner Regional Australia,Sydney - Baulkham Hills and Hawkesbury,N
1051,Ardlethan Central School,2665,18,np,937,Central/Community School,Not Selective,Coed,"Murrumbidgee, Far West & Western NSW",Murrumbidgee,Riverina 1,Outer Regional Australia,Riverina,Y
1055,Ariah Park Central School,2665,np,np,968,Central/Community School,Not Selective,Coed,"Murrumbidgee, Far West & Western NSW",Murrumbidgee,Riverina 1,Outer Regional Australia,Riverina,N
1057,Armidale City Public School,2350,14,31,988,Primary School,Not Selective,Coed,Hunter New England & Central Coast,Hunter New England,North Western 2,Inner Regional Australia,New England and North West,N
1058,Drummond Memorial Public School,2350,35,36,838,Primary School,Not Selective,Coed,Hunter New England & Central Coast,Hunter New England,North Western 2,Inner Regional Australia,New England and North West,N
1061,Artarmon Public School,2064,np,87,1177,Primary School,Not Selective,Coed,"South Eastern Sydney, Northern Sydney & Sydney",Northern Sydney,Metropolitan North,Major Cities of Australia,Sydney - North Sydney and Hornsby,N
1064,Ashbury Public School,2193,np,43,1118,Primary School,Not Selective,Coed,"South Eastern Sydney, Northern Sydney & Sydney",Sydney,Metropolitan East,Major Cities of Australia,Sydney - Inner West,Y
1065,Ashfield Public School,2131,2,76,1104,Primary School,Not Selective,Coed,"South Eastern Sydney, Northern Sydney & Sydney",Sydney,Metropolitan East,Major Cities of Australia,Sydney - Inner West,N
