postcode,Socio-economic Advantage and Disadvantage Score,Economic Resources Score,Education Score,,,
800,1096,946,1089,,,
810,1052,1014,1045,,,
812,1020,1013,997,,,
815,1096,1075,1096,,,
820,1094,1011,1085,,,
822,754,658,880,,,
828,979,942,993,,,
829,983,984,918,,,
830,997,990,967,,,
832,1075,1060,1006,,,
834,1052,1087,998,,,
835,1070,1120,1000,,,
836,1055,1114,969,,,
837,989,1043,926,,,
838,1035,1067,987,,,
839,965,917,907,,,
840,872,919,880,,,
841,968,1036,919,,,
845,875,826,970,,,
846,844,865,860,,,
847,830,777,900,,,
850,975,940,1010,,,
852,733,649,870,,,
853,1081,1013,1045,,,
854,784,651,894,,,
860,891,828,969,,,
862,789,735,821,,,
870,1024,988,1036,,,
872,690,584,841,,,
873,913,913,942,,,
874,1110,1001,1129,,,
875,977,943,1005,,,
880,934,818,997,,,
885,1076,990,1077,,,
886,1010,921,1037,,,
2000,1065,804,1128,,,
2007,1033,737,1125,,,
2008,1085,784,1175,,,
2009,1113,919,1148,,,
2010,1116,905,1158,,,
2011,1104,886,1162,,,
2015,1148,996,1163,,,
2016,1063,890,1105,,,
2017,1069,853,1138,,,
2018,1022,945,1038,,,
2019,1068,1036,1045,,,
2020,1073,968,1067,,,
2021,1161,1016,1189,,,
2022,1126,990,1154,,,
2023,1171,1084,1186,,,
2024,1146,1048,1163,,,
2025,1163,1052,1194,,,
2026,1140,989,1161,,,
2027,1162,1022,1198,,,
2028,1160,1015,1195,,,
2029,1147,1043,1169,,,
2030,1167,1120,1180,,,
2031,1137,1007,1158,,,
2032,1044,870,1105,,,
2033,1106,946,1144,,,
2034,1124,994,1146,,,
2035,1076,997,1096,,,
2036,1035,1001,1032,,,
2037,1084,906,1149,,,
2038,1145,1029,1173,,,
2039,1171,1071,1188,,,
2040,1121,1032,1147,,,
2041,1154,1046,1188,,,
2042,1123,953,1161,,,
2043,1157,994,1181,,,
2044,1077,1010,1083,,,
2045,1103,1078,1107,,,
2046,1100,1040,1106,,,
2047,1137,1044,1151,,,
2048,1128,1000,1160,,,
2049,1102,985,1131,,,
2050,1140,921,1206,,,
2052,1081,899,1151,,,
2060,1159,982,1201,,,
2061,1152,959,1204,,,
2062,1159,1040,1191,,,
2063,1181,1139,1183,,,
2064,1123,993,1156,,,
2065,1163,1023,1190,,,
2066,1150,1072,1167,,,
2067,1105,971,1142,,,
2068,1154,1109,1156,,,
2069,1170,1130,1174,,,
2070,1163,1115,1172,,,
2071,1156,1109,1169,,,
2072,1146,1076,1168,,,
2073,1178,1152,1175,,,
2074,1164,1134,1167,,,
2075,1170,1150,1166,,,
2076,1152,1128,1154,,,
2077,1080,1012,1101,,,
2079,1111,1124,1091,,,
2080,1097,1107,1082,,,
2081,1123,1134,1090,,,
2082,1107,1119,1088,,,
2083,1057,1042,1070,,,
2084,1129,1155,1091,,,
2085,1134,1149,1109,,,
2086,1145,1152,1117,,,
2087,1130,1123,1120,,,
2088,1165,1076,1188,,,
2089,1155,998,1190,,,
2090,1160,1031,1191,,,
2092,1179,1164,1168,,,
2093,1145,1104,1144,,,
2094,1160,1071,1172,,,
2095,1147,1007,1175,,,
2096,1145,1076,1146,,,
2097,1120,1117,1090,,,
2099,1069,1037,1063,,,
2100,1109,1111,1084,,,
