Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Tot,postcode
3071,930,387,4737,2000
0,0,0,0,2006
706,261,127,1171,2007
1165,265,118,1680,2008
1826,819,341,3102,2009
3894,898,375,5322,2010
2708,480,327,3596,2011
1459,704,245,2468,2015
1592,585,288,2560,2016
3250,1121,671,5270,2017
1596,1950,630,4306,2018
849,1497,450,2849,2019
1583,1543,460,3704,2020
1749,1284,374,3487,2021
1262,1150,372,2855,2022
1046,1264,312,2668,2023
1034,1269,297,2633,2024
834,717,236,1824,2025
3457,2855,746,7188,2026
1147,595,215,1994,2027
592,365,139,1126,2028
1024,1177,336,2598,2029
1181,2040,413,3697,2030
3461,3641,1044,8384,2031
1230,1416,525,3349,2032
1105,986,311,2527,2033
2024,2117,606,4854,2034
3003,4091,1359,8734,2035
2285,3697,1285,7426,2036
1781,1024,484,3415,2037
943,994,256,2244,2038
1103,963,241,2341,2039
1960,2719,755,5555,2040
1775,1774,441,4033,2041
2162,1289,412,3993,2042
1222,576,191,2023,2043
807,792,280,1935,2044
510,947,245,1731,2045
2638,3521,1021,7315,2046
1340,1299,370,3069,2047
820,712,224,1815,2048
1149,1063,364,2628,2049
1215,440,156,1871,2050
65,6,6,89,2052
2065,1043,324,3520,2060
1013,355,136,1539,2061
821,793,232,1879,2062
539,1001,154,1706,2063
884,1280,317,2539,2064
3942,3113,768,7990,2065
3185,4262,903,8500,2066
2468,3320,951,6931,2067
1297,2663,531,4539,2068
1204,2241,397,3885,2069
1081,2147,393,3673,2070
1127,2150,452,3785,2071
665,1162,278,2136,2072
1272,2791,424,4539,2073
2081,3375,578,6092,2074
1949,3366,561,5908,2075
2077,3702,686,6543,2076
3449,5421,1446,10509,2077
555,1196,241,2020,2079
145,269,51,470,2080
444,905,133,1491,2081
460,902,161,1535,2082
201,156,62,419,2083
326,547,89,974,2084
1084,1748,307,3159,2085
1043,2268,389,3735,2086
1011,2040,393,3473,2087
3114,3511,807,7525,2088
1596,992,338,3003,2089
1787,1380,373,3620,2090
513,1215,184,1930,2092
1878,3437,740,6125,2093
724,706,175,1629,2094
2126,1407,363,3965,2095
1604,1820,395,3867,2096
1395,2242,486,4177,2097
3785,5105,1490,10528,2099
1722,3133,655,5583,2100
1969,2444,630,5085,2101
624,1106,293,2044,2102
1126,1412,340,2899,2103
444,418,62,933,2104
235,234,42,514,2105
941,1268,350,2589,2106
1528,2113,430,4094,2107
246,148,58,444,2108
279,122,38,459,2109
816,1348,265,2459,2110
1389,1877,466,3817,2111
3010,4469,1145,8848,2112
1680,2499,631,4927,2113
2590,3131,767,6658,2114
800,1572,465,2871,2115
527,920,306,1777,2116
1630,2983,842,5545,2117
1976,3960,842,6857,2118
1029,1910,291,3263,2119
