school_code,school_name,2016
1001,Abbotsford Public School,95.2
1002,Aberdeen Public School,92.7
1003,Abermain Public School,91.5
1007,Adaminaby Public School,85.5
1008,Adamstown Public School,93.2
1009,Adelong Public School,92.7
3640,Afterlee Public School,97
8493,Airds High School,83
5748,Ajuga School,
4177,Albert Park Public School,87.9
8586,Albion Park High School,86.7
1015,Albion Park Public School,93.5
4121,Albion Park Rail Public School,93.9
8101,Albury High School,90.4
3922,Albury North Public School,91.9
1017,Albury Public School,93.8
1019,Albury West Public School,93.2
4601,Aldavilla Public School,92.7
8556,Alexandria Park Community School,91.5
4605,Alfords Point Public School,94.3
4200,Allambie Heights Public School,95.6
1028,Alma Public School,90.9
8578,Alstonville High School,90.6
1030,Alstonville Public School,93.6
8570,Ambarvale High School,86.1
4505,Ambarvale Public School,93.5
1035,Ando Public School,
1040,Anna Bay Public School,93.7
1042,Annandale North Public School,96.5
1041,Annandale Public School,94.6
3719,Annangrove Public School,93.4
5625,Anson Street School,
4656,Anzac Park Public School,na
1045,Appin Public School,95
1048,Arcadia Public School,95.4
4132,Arcadia Vale Public School,93.4
1051,Ardlethan Central School,92.2
3904,Argenton Public School,94.3
1055,Ariah Park Central School,92.1
1057,Armidale City Public School,93.4
8102,Armidale High School,85.3
8915,Armidale Secondary College,
7401,Arncliffe Public School,94.2
5103,Arncliffe West Infants School,93.4
5538,Arndell School,
5656,Arranounbai School,
1061,Artarmon Public School,96.8
8892,Arthur Phillip High School,90.2
1064,Ashbury Public School,95.3
8397,Ashcroft High School,86.1
4344,Ashcroft Public School,92.6
8832,Ashfield Boys High School,90.7
1065,Ashfield Public School,95
1066,Ashford Central School,89.8
4375,Ashmont Public School,88.4
4642,Ashtonfield Public School,94.2
8245,Asquith Boys High School,93.2
8222,Asquith Girls High School,92.7
1070,Asquith Public School,94.6
3453,Athelstane Public School,93.6
1071,Attunga Public School,93
8253,Auburn Girls High School,90.8
1073,Auburn North Public School,94.3
7403,Auburn Public School,93.8
1075,Auburn West Public School,93.1
1076,Austinmer Public School,94.5
1077,Austral Public School,93.6
